SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0005,-442.7027287,0.0005,-264.41558,0.0539482,3051.811092,0.051751266,2473.824574,0.047437165,-295.0506159,0.002061856,-199.1701245,-0.001955671,-320.0025548
0.001,-277.5796055,0.001,-266.3410928,0.056915557,3051.850975,0.057686645,2460.46349,0.054856887,-321.8326089,0.003092784,248.9626556,0.002607562,-288.1022697
0.0015,-302.9198364,0.0015,-231.70682,0.062108432,3051.920772,0.063621359,2460.543258,0.063017119,-321.7229284,0.006701031,680.4979253,0.004563233,-266.8238424
0.002,-157.511173,0.002,28.59450041,0.068784986,3052.010511,0.070296583,2487.514699,0.071176686,-308.1723965,0.006185567,912.8630705,0.005867014,-128.3925728
0.0025,98.18342355,0.0025,261.8440586,0.071008509,3092.362977,0.071776273,2568.179748,0.077852575,-294.6418066,0.009278351,2008.298755,0.008474576,159.1195938
0.003,36.07303605,0.003,460.9114825,0.071003191,3199.889788,0.073997802,2648.854769,0.081559112,-240.8285467,0.012886598,2473.029046,0.014341591,521.1444392
0.0035,186.3871945,0.0035,665.1794569,0.072483546,3267.113986,0.075476163,2756.401521,0.091936885,-79.39873794,0.017525773,3004.149378,0.023468057,1160.024882
0.004,341.8076672,0.004,960.1487783,0.076183436,3455.335759,0.075474169,2796.724075,0.094160409,-39.04627123,0.019072165,3618.257261,0.021512386,2065.264026
0.0045,318.8593686,0.0045,1169.047883,0.076183436,3455.335759,0.076949871,2958.034232,0.098605462,81.98121604,0.027319588,4149.377593,0.032594524,2704.123641
0.005,638.7008637,0.005,1330.125741,0.079140822,3656.988412,0.077681074,3173.097824,0.102307346,229.8804349,0.029381443,4448.13278,0.033898305,3449.583665
0.0055,2134.095798,0.0055,1428.726962,0.080616524,3818.298569,0.079896621,3374.740506,0.103785707,337.4271871,0.032474227,4813.278008,0.048891786,3992.55498
0.006,2079.689787,0.006,1475.805531,0.081349057,4006.480458,0.07988798,3549.471572,0.107487591,485.326406,0.040721649,5510.373444,0.054758801,4684.718271
0.0065,745.4753028,0.0065,1618.534719,0.081341081,4167.770673,0.080623172,3683.890056,0.108967281,565.9914556,0.047938144,5958.506224,0.065840939,5174.483104
0.007,2347.672367,0.007,1652.611661,0.081334433,4302.179186,0.081359693,3791.426837,0.114151515,740.7923189,0.053608247,6273.858921,0.075619296,5760.108468
0.0075,2400.174876,0.0075,1441.167102,0.08132978,4396.265145,0.083579893,3898.983561,0.11711023,915.5632694,0.065979381,6904.564315,0.086701434,6239.223674
0.008,2593.691878,0.008,1819.292987,0.083547986,4544.144422,0.085797434,4060.303689,0.117848081,996.218348,0.085051546,7253.112033,0.105606258,6696.956317
