SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0005,69.00591686,0.0005,152.9286477,0.052475979,656.8201564,0.052475979,531.7115552,0.045824095,469.1572546,-0.001916941,22.76477635,-7.24E-05,105.6641661
0.001,118.6268095,0.001,82.162989,0.059127864,656.8201564,0.059866962,552.5629887,0.059127864,469.1572546,0.002730536,181.8478956,0.006452313,197.7151575
0.0015,66.76721635,0.0015,121.3561591,0.067257945,656.8201564,0.06947524,542.1372719,0.067997044,521.2858384,0.010173037,352.2100472,0.014940422,294.3611607
0.002,155.7316276,0.002,96.00707521,0.073170732,729.8001738,0.07390983,583.840139,0.077605322,583.840139,0.021812048,488.3057777,0.031289498,381.7628684
0.0025,70.16577103,0.0025,100.7485987,0.082039911,844.4830582,0.080561715,646.3944396,0.084996305,656.8201564,0.027392377,635.9826574,0.054165662,552.0074533
0.003,139.7933387,0.003,108.6143021,0.084996305,886.1859253,0.084257206,698.5230235,0.090909091,740.2258905,0.037165684,794.8908669,0.071175648,616.3858604
0.0035,116.8558369,0.0035,135.0267034,0.097560976,1011.294526,0.088691796,761.0773241,0.100517369,896.6116421,0.045999071,1056.200818,0.080960249,763.6704617
0.004,146.1648997,0.004,130.0302542,0.107908352,1209.383145,0.091648189,844.4830582,0.10421286,1032.14596,0.051116949,1158.395847,0.091415408,851.0993053
0.0045,211.5728706,0.0045,125.9370011,0.112342942,1365.768897,0.096082779,948.7402259,0.110864745,1240.660295,0.05856475,1260.511373,0.100540306,1016.80315
0.005,159.3236113,0.005,177.6482705,0.119733925,1553.431798,0.099039172,1073.848827,0.116777531,1386.62033,0.064616364,1339.925725,0.110336968,1118.04718
0.0055,203.74551,0.0055,184.7786495,0.129342203,1772.371851,0.101995565,1146.828844,0.122690318,1574.283232,0.071599948,1419.308276,0.118126779,1380.442255
0.006,182.1521651,0.006,176.6687166,0.137472284,1970.460469,0.10421286,1209.383145,0.132298596,1834.926151,0.079985901,1441.770935,0.13443485,1624.381905
0.0065,319.3029251,0.0065,170.8052502,0.142645972,2147.697654,0.106430155,1271.937446,0.137472284,2022.589053,0.086507033,1475.671636,0.138946645,1900.604226
0.007,314.7414652,0.007,227.1656179,0.153732446,2304.083406,0.109386548,1355.34318,0.148558758,2335.360556,0.094423469,1543.647947,0.145454436,2057.112017
0.0075,285.1834249,0.0075,189.4923331,0.15668884,2356.21199,0.112342942,1428.323197,0.155210643,2648.132059,0.099075363,1645.858878,0.150658498,2190.605553
0.008,311.5002815,0.008,269.965235,0.161862528,2491.746308,0.114560237,1532.580365,0.161862528,2887.923545,0.105126094,1736.647668,0.157787399,2476.023928
0.0085,364.1144569,0.0085,245.2206573,0.172209904,2668.983493,0.116777531,1615.986099,0.171470806,3138.140747,0.113971848,1838.715491,0.168199141,2729.198828
0.009,400.9864656,0.009,189.3915987,0.175905395,2762.814944,0.119733925,1730.668983,0.183296378,3430.060817,0.11908531,1997.782709,0.175337691,2977.784746
0.0095,269.5402301,0.0095,200.1048036,0.181079084,2950.477845,0.120473023,1845.351868,0.19586105,3659.426586,0.122338367,2111.41578,0.182438854,3369.096435
0.01,400.6024131,0.01,232.9165237,0.190687361,3138.140747,0.122690318,1949.609036,0.21286031,3951.346655,0.125587891,2270.546602,0.19087269,3672.925008
0.0105,325.7571309,0.0105,354.6498388,0.192904656,3263.249348,0.126385809,2116.420504,0.228381375,4211.989574,0.130691636,2554.732635,0.197364803,3889.285542
0.011,392.2282755,0.011,249.9470709,0.200295639,3471.763684,0.133776792,2356.21199,0.240206948,4420.50391,0.137653134,2918.476129,0.206452313,4197.715158
0.0115,373.7310989,0.0115,202.8682312,0.205469327,3659.426586,0.13895048,2460.469157,0.254249815,4618.592528,0.139972456,3054.889877,0.215566356,4404.855516
0.012,434.6943857,0.012,273.2564593,0.211382114,3784.535187,0.14338507,2637.706342,0.266075388,4847.958297,0.146941022,3327.63787,0.222725409,4575.172464
0.0125,365.8523015,0.0125,242.6919728,0.216555802,3920.069505,0.147080562,2773.24066,0.277900961,5098.1755,0.151118981,3532.234641,0.233186598,4639.581022
0.013,231.9290459,0.013,257.1377831,0.218773097,3961.772372,0.151515152,2887.923545,0.287509239,5306.689835,0.159010682,3918.695208,0.242985672,4731.616938
0.0135,415.7352156,0.0135,202.2078647,0.225424982,3951.346655,0.158167036,3179.843614,0.296378418,5598.609904,0.165044629,4225.598315,0.252125042,4842.072097
0.014,464.7965734,0.014,272.6295392,0.228381375,3993.049522,0.164079823,3346.655083,0.305986696,5890.529974,0.17619292,4680.194203,0.259990834,4814.411573
0.0145,467.7236164,0.0145,245.1058829,0.232815965,4086.880973,0.172209904,3565.595135,0.320768662,6182.450043,0.178975576,4850.715363,0.268486179,4883.433234
0.015,461.0462169,0.015,278.8667507,0.237250554,4170.286707,0.177383592,3753.258036,0.33481153,6505.647263,0.191520055,5328.012424,0.284208114,4864.944643
0.0155,336.850517,0.0155,261.4120033,0.243902439,4222.415291,0.181079084,3930.495222,0.348854398,6703.735882,0.203136097,5759.843535,0.321502484,4993.686381
0.016,706.8828296,0.016,428.1028519,0.246858832,4274.543875,0.188470067,4128.58384,0.365853659,6870.54735,0.208719077,5873.397102,0.328714603,4961.424815
0.0165,293.3776787,0.0165,274.7769118,0.248337029,4347.523892,0.194382853,4326.672459,0.379896526,6985.230235,0.216635513,5941.373413,0.343770804,4984.375754
0.017,381.4139748,0.017,364.9450912,0.250554324,4399.652476,0.203991131,4545.612511,0.393939394,7047.784535,0.238991283,6088.477861,0.347702494,4975.149549
0.0175,417.0434738,0.0175,317.9852936,0.253510717,4441.355343,0.210643016,4691.572546,0.410938655,7225.02172,0.248308322,6122.283156,0.364714892,5030.319842
0.018,318.8475703,0.018,503.5779061,0.255728012,4493.483927,0.218033999,4806.25543,0.422025129,7360.556038,0.256681908,6303.987944,0.370614839,5007.27242
0.0185,280.4672079,0.0185,421.4859133,0.259423503,4597.741095,0.22616408,4920.938315,0.430894309,7548.21894,0.269245821,6531.047374,0.402708765,4988.708452
0.019,503.273212,0.019,590.3859621,0.263118995,4660.295395,0.235033259,5035.621199,0.445676275,7819.287576,0.274819967,6758.345318,0.41318684,4988.66021
0.0195,498.3582066,0.0195,370.5595477,0.266075388,4806.25543,0.239467849,5098.1755,0.461197339,8048.653345,0.284113154,7099.260432,0.42299315,5053.071783
0.02,539.3329975,0.02,330.154455,0.269031781,4931.364031,0.248337029,5223.284101,0.476718404,8205.039096,0.28689316,7303.904906,0.430196826,5053.038617
0.0205,327.8644883,0.0205,326.1097502,0.271988174,5025.195482,0.257206208,5264.986968,0.492239468,8257.16768,0.295248195,7724.472885,0.446585701,4988.50644
0.021,452.3402707,0.021,554.024679,0.274205469,5056.472632,0.260162602,5275.412685,0.509238729,8434.404865,0.301747243,8042.734529,0.468837136,5043.652612
0.0215,370.2504913,0.0215,393.4553577,0.279379157,5056.472632,0.273466371,5327.541268,0.519586105,8559.513467,0.308247174,8349.621735,0.476048049,5015.995103
0.022,373.4745042,0.022,471.1997873,0.285291944,5181.581234,0.277900961,5337.966985,0.535846268,8715.899218,0.321730688,8735.891492,0.502882435,5075.724227
0.0225,365.903986,0.0225,313.6306396,0.292682927,5306.689835,0.283813747,5337.966985,0.549150037,8851.433536,0.327317202,8803.947308,0.519928602,5001.98092
0.023,401.5388218,0.023,349.8762356,0.299334812,5431.798436,0.292682927,5327.541268,0.580192166,8966.116421,0.336633357,8849.127041,0.54218245,5047.918978
0.0235,598.1534702,0.0235,355.7754073,0.303030303,5473.501303,0.3045085,5483.92702,0.593495935,9007.819288,0.34875072,8825.964742,0.579522649,5001.706546
0.024,299.6035337,0.024,460.1928977,0.307464893,5588.184188,0.311160384,5546.481321,0.606060606,9091.225022,0.358542577,8746.00976,0.593921559,5033.868614
0.0245,815.2929393,0.0245,358.0588821,0.310421286,5650.738488,0.325203252,5702.867072,0.619364375,9195.482189,0.37205966,8700.050883,0.614866853,5075.208645
0.025,352.8029071,0.025,303.5423754,0.316334072,5671.589922,0.332594235,5807.12424,0.628972653,9226.75934,0.386047144,8597.203917,0.624684018,5098.183704
0.0255,527.0572008,0.0255,360.9877648,0.316334072,5723.718506,0.347376201,5994.787142,0.643754619,9393.570808,0.402346883,8721.7662,0.634515654,5065.910078
0.026,981.3288578,0.026,450.5664436,0.319290466,5786.272806,0.36067997,6088.618593,0.652623799,9487.402259,0.432607605,9084.71465,0.662668243,5093.404771
0.0265,253.9517118,0.0265,541.1298399,0.321507761,5869.67854,0.371766445,6140.747176,0.662232077,9508.253692,0.434934877,9118.758458,0.673808433,5065.729172
