SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0005,-19.86913733,0.0005,4.397587942,0.001081081,2.715151515,0.002702703,2.327272727,0,3.727054,0,9.458086014,0.01,-20.22990227
0.001,30.55739221,0.001,29.23461871,0.004864865,3.296969697,0.008108108,4.072727273,0.002994,-2.711076,0.00769,-8.485663414,0.02,-2.135789394
0.0015,40.58585595,0.0015,27.96395283,0.018918919,6.593939394,0.017297297,9.115151515,0.005988,-14.483393,0.015385,8.608276367,0.03,36.91495132
0.002,21.44565578,0.002,27.70248582,0.033513514,11.24848485,0.02972973,11.24848485,0.008982,21.114079,0.02307,14.92146206,0.04,33.14610291
0.0025,25.79163618,0.0025,34.70492222,0.049189189,15.9030303,0.041621622,12.60606061,0.011976,39.566437,0.03076,13.54405308,0.05,28.72308731
0.003,40.83893186,0.003,28.83492299,0.063783784,23.85454545,0.059459459,17.84242424,0.01497,-2.4066403,0.03845,-5.566372871,0.06,40.3254509
0.0035,38.98217513,0.0035,36.21720565,0.074594595,23.66060606,0.074594595,21.91515152,0.017964,18.85446,0.04614,30.02319527,0.07,37.24178314
0.004,47.49048586,0.004,27.44341851,0.091351351,29.67272727,0.089189189,23.27272727,0.020958,-12.11557,0.05383,-20.65556335,0.08,41.01776505
0.0045,29.42714704,0.0045,32.1989418,0.108108108,32.96969697,0.13027027,25.21212121,0.023952,29.497627,0.06152,-7.303079128,0.09,42.85426712
0.005,54.65451939,0.005,37.40634301,0.116756757,31.80606061,0.163243243,30.44848485,0.026946,1.6422886,0.06921,1.270794034,0.1,48.94754791
0.0055,29.18174653,0.0055,28.57420697,0.14,39.36969697,0.188108108,32.96969697,0.02994,40.979534,0.0769,4.94506979,0.11,45.05495453
0.006,41.23972959,0.006,32.55177695,0.15027027,42.86060606,0.212972973,33.35757576,0.032934,26.903763,0.08459,-19.09424782,0.12,42.62546158
0.0065,14.94660649,0.0065,23.49146881,0.158918919,39.17575758,0.247567568,37.81818182,0.035928,19.894775,0.09228,-18.99269485,0.13,53.21257782
0.007,40.51354176,0.007,20.28864678,0.164324324,44.99393939,0.262162162,40.53333333,0.038922,22.95856,0.09997,0.614973009,0.14,54.27331543
0.0075,31.44176749,0.0075,33.73107273,0.165945946,46.73939394,0.283243243,40.14545455,0.041916,36.383293,0.10766,15.48111916,0.15,60.36271286
0.008,29.38833162,0.008,28.9429933,0.178918919,49.26060606,0.323243243,41.6969697,0.04491,36.37556,0.11535,-7.071804047,0.16,64.79888153
0.0085,31.34239507,0.0085,28.32304199,0.197837838,46.54545455,0.351891892,45.18787879,0.047904,33.968304,0.12304,12.57259655,0.17,59.66004562
0.009,18.15264142,0.009,24.31631217,0.205945946,51.39393939,0.377837838,46.35151515,0.050898,32.439037,0.13073,28.15438843,0.18,48.72743988
0.0095,57.01501424,0.0095,29.81172509,0.213513514,53.33333333,0.396756757,46.35151515,0.053892,18.880457,0.13842,5.32885313,0.19,60.6120491
0.01,39.03431298,0.01,29.58954152,0.234594595,55.07878788,0.437297297,52.75151515,0.056886,47.063343,0.14611,-26.48908234,0.2,61.20604324
0.0105,12.7208661,0.0105,34.11907037,0.246486486,55.07878788,0.46972973,54.3030303,0.05988,40.436996,0.1538,1.058423042,0.21,56.40406036
0.011,8.467902668,0.011,34.16257904,0.257837838,56.24242424,0.485405405,54.4969697,0.062874,42.0168,0.16149,20.99582291,0.22,54.60255051
0.0115,31.27335082,0.0115,39.07054699,0.262702703,58.37575758,0.499459459,57.79393939,0.065868,43.88179,0.16918,3.329413891,0.23,79.14966583
0.012,31.94869716,0.012,36.14937832,0.272972973,58.95757576,0.507027027,58.76363636,0.068862,46.74007,0.17687,2.170542002,0.24,63.60840607
0.0125,12.25533367,0.0125,22.25340715,0.281081081,58.56969697,0.55027027,65.55151515,0.071856,53.135235,0.18456,-1.866639972,0.25,58.07512665
0.013,9.630505303,0.013,27.78883827,0.292432432,60.7030303,0.556216216,67.49090909,0.07485,42.72584,0.19225,10.41647434,0.26,72.69581604
