"Step","agent.entropy_alpha: 0.01 - evaluation/episode.return","agent.entropy_alpha: 0.01 - evaluation/episode.return__MIN","agent.entropy_alpha: 0.01 - evaluation/episode.return__MAX","agent.entropy_alpha: 0.1 - evaluation/episode.return","agent.entropy_alpha: 0.1 - evaluation/episode.return__MIN","agent.entropy_alpha: 0.1 - evaluation/episode.return__MAX","agent.entropy_alpha: 0.2 - evaluation/episode.return","agent.entropy_alpha: 0.2 - evaluation/episode.return__MIN","agent.entropy_alpha: 0.2 - evaluation/episode.return__MAX","agent.entropy_alpha: 0.05 - evaluation/episode.return","agent.entropy_alpha: 0.05 - evaluation/episode.return__MIN","agent.entropy_alpha: 0.05 - evaluation/episode.return__MAX"
"0","-170.40943250708176","-227.96616221514805","-133.93147050167832","-161.5102508698991","-188.0111192523852","-118.79114290134146","-144.16709406529208","-171.96868757407242","-123.78050604437638","-176.1359332804991","-193.57795128802158","-152.55953582776723"
"100000","2061.1813860601205","1033.8864977971766","3892.819552410955","4396.5504967642555","1650.6936362878841","6017.20007964127","2242.39970354866","973.5844532598665","4806.7120888603695","4621.360456505686","3389.1464305198956","5274.14256859137"
"200000","4823.294118757106","916.4629993788914","6806.487149249489","6147.383074776363","4753.597425052793","7045.390403321704","6062.044269739108","5694.508407973361","6546.298221078825","6319.951910347126","5800.967741067034","6829.304005943649"
"300000","6072.442834245461","3852.5745796721126","7284.601818301747","6892.520684215859","6114.181859953795","7491.78303463651","6307.244244547427","5056.112337728496","7094.614048976633","6778.79154868734","6342.725231580516","7344.104357471528"
"400000","6931.024759843877","5704.2451505586505","7611.63323648538","7196.036877841154","6762.530530082878","7657.606620010727","7218.0602040662625","6998.9513172722545","7315.874058967303","7323.2860139380255","7092.013958518983","7705.859752112053"
"500000","7423.739274749711","6897.219907945855","7883.432704616982","7636.501970395737","7264.086835214262","8219.768897198834","7705.046836663008","7604.239086209011","7787.233237338009","7664.518803995314","7524.5804992554395","7883.440921548458"
"600000","7748.548650024288","7038.430992033112","8212.308503635799","7827.853987191601","7477.924260326679","8369.45304662542","7840.06860165714","7691.5660532563725","8026.690397847073","8068.042093759439","7916.728536916615","8282.977925688292"
"700000","8083.681240171107","7868.8657946902385","8269.847266708126","8015.042763821254","7656.974738469344","8452.089424321563","8118.6833585392515","7968.800046624213","8289.66847592363","8149.478880409392","7879.296711799008","8360.659724489326"
"800000","8047.087320344105","7628.925133500801","8509.960427971788","8061.3830980566945","7572.533338086907","8479.906507341238","8211.191075521145","8068.323596900404","8368.546231965429","8194.815675989264","7777.44778143999","8423.595687424297"
"900000","8447.021334218056","8222.93865826665","9002.392382841796","8224.706896986445","7981.761150327864","8517.96424715052","8316.32721183449","8228.449910967238","8419.284270494454","8366.786058946958","8198.444861299942","8465.250894786446"
"1000000","8362.448760738876","8021.4984954228685","8755.72253542209","8310.198232935707","8092.71736353317","8522.861950656055","8317.718553818791","8165.221839529429","8497.208724754835","8298.969498283985","8048.45416296697","8449.449157255438"
