"Step","agent.entropy_alpha: 0.05 - evaluation/episode.return","agent.entropy_alpha: 0.05 - evaluation/episode.return__MIN","agent.entropy_alpha: 0.05 - evaluation/episode.return__MAX","agent.entropy_alpha: 0.1 - evaluation/episode.return","agent.entropy_alpha: 0.1 - evaluation/episode.return__MIN","agent.entropy_alpha: 0.1 - evaluation/episode.return__MAX","agent.entropy_alpha: 0.01 - evaluation/episode.return","agent.entropy_alpha: 0.01 - evaluation/episode.return__MIN","agent.entropy_alpha: 0.01 - evaluation/episode.return__MAX","agent.entropy_alpha: 0.2 - evaluation/episode.return","agent.entropy_alpha: 0.2 - evaluation/episode.return__MIN","agent.entropy_alpha: 0.2 - evaluation/episode.return__MAX"
"0","-366.14212824588606","-379.3887302714753","-352.88277399359583","-347.49775044411166","-375.4333168421371","-309.9327313933875","-360.29009670437443","-386.2299020441488","-341.1154463589201","-353.3695246998104","-376.5911560367201","-322.5841823660441"
"100000","8047.682252278337","4379.407132631035","10009.656339006682","8699.91770409645","7944.9991716971035","9608.492272063044","7733.265478454216","4762.542552058355","10129.43332556175","7733.535390714298","5784.482358048713","10770.512166968234"
"200000","9801.017240976813","3968.132003644848","11903.27356722307","11637.486372460997","10613.771974157706","12759.593373444095","10912.209944031463","7926.816345049684","12363.801143507351","10499.534111361801","8126.56925114473","12468.674057980357"
"300000","13215.800707827111","12754.092528931158","13974.013677922145","12804.969634968877","12610.46297058041","12949.302817901924","11602.00056756664","8212.745271073443","13363.780551929856","11690.480923373261","10661.90799420952","13042.333949717915"
"400000","14279.833277276663","13546.74062364006","15337.979330065136","13449.90594389824","10737.717974267898","15055.648614508376","12173.998408231904","8638.749769804992","14012.760108850442","12463.606478596961","10070.245900529551","15230.535920048218"
"500000","13913.757938568666","9055.677815067844","16284.788073023015","14231.687706405437","11538.378864461913","15804.235767925617","13910.96965143537","8672.536972294403","15914.266942250542","13560.011226375298","12128.43074252527","14786.866043477561"
"600000","15680.667635051406","15125.463167866543","16705.88827913155","15788.216056107856","15506.613600547611","16149.498981507826","13968.137790401437","8775.556624646346","15939.015529005399","15212.074883458918","13453.538291240027","16512.74517560271"
"700000","16468.059154546158","16058.450387083758","16914.85092155665","16269.01670498784","15856.3944033958","16491.842959391346","14279.476245644108","8783.843362996171","16692.141295771322","15797.210568489063","13901.835979987278","16940.800131832806"
"800000","16496.052597341633","15880.910755233215","17078.431923929358","15153.665491118656","11491.173423927767","16817.73950110057","14795.268050928855","8795.088596605863","16946.419073111698","16307.072177260576","15046.196905693945","16821.46908531215"
"900000","16500.91653964328","15340.902653930332","17304.292116914945","16634.79061732715","16162.28695025213","17130.169678036305","14757.26329870439","8604.563937148258","16909.543919392963","16561.81709825958","15203.409682334412","17156.44782195566"
"1000000","16759.689700214658","16129.967817525963","17283.573308412793","16575.503872954327","16240.66756581678","17274.16161395979","15070.780627356984","8810.421009140431","17259.16585949926","16774.669334270173","16048.416977853016","17097.169597105392"
