Step,agent.state_dependent_std: true - evaluation/episode.return,agent.state_dependent_std: true - evaluation/episode.return__MIN,agent.state_dependent_std: true - evaluation/episode.return__MAX,agent.state_dependent_std: false - evaluation/episode.return,agent.state_dependent_std: false - evaluation/episode.return__MIN,agent.state_dependent_std: false - evaluation/episode.return__MAX
0,8.349267128,2.942559463,13.75597479,7.432084897,3.193689637,12.56220222
100000,2860.841892,2474.340008,3247.343776,1877.924069,1476.296713,2232.292365
200000,2447.020695,1560.158302,3333.883088,2405.217143,1349.646153,3191.068838
300000,2599.874139,1824.522559,3375.225719,1807.337503,1406.66257,2081.904943
400000,2642.521559,1913.384611,3371.658507,2145.625146,1723.429834,2595.961165
500000,3750.101648,3384.809887,4115.393408,2560.181458,1942.286122,2962.365863
600000,2638.04098,1886.832876,3389.249085,2217.776113,2178.034775,2253.414163
700000,3672.201577,3399.282961,3945.120193,2323.120281,2049.154068,2451.860984
800000,3769.128017,3404.99613,4133.259905,2453.696414,2381.576224,2525.816605
900000,3781.720916,3412.208312,4151.23352,2377.94551,2156.343346,2599.547675
1000000,3999.723227,3786.70217,4182.744284,2441.597049,2397.18348,2486.010618
