Step,agent.alpha: 10 - evaluation/episode.return,agent.alpha: 10 - evaluation/episode.return__MIN,agent.alpha: 10 - evaluation/episode.return__MAX,agent.alpha: 100 - evaluation/episode.return,agent.alpha: 100 - evaluation/episode.return__MIN,agent.alpha: 100 - evaluation/episode.return__MAX,agent.alpha: 3 - evaluation/episode.return,agent.alpha: 3 - evaluation/episode.return__MIN,agent.alpha: 3 - evaluation/episode.return__MAX,agent.alpha: 1 - evaluation/episode.return,agent.alpha: 1 - evaluation/episode.return__MIN,agent.alpha: 1 - evaluation/episode.return__MAX
0,82.45638286,75.4633467,86.28821161,79.83181167,74.34168408,85.32193926,75.2066756,74.95097502,75.64551563,118.3163161,114.4393933,125.4380565
100000,5860.418226,4860.720002,6637.528656,1180.62851,229.9659591,2131.291062,3515.068679,1608.385827,4809.746063,1973.773445,1585.123709,2376.374709
200000,4841.008243,3783.438665,5577.725868,995.3393542,327.0525743,1663.626134,6085.31808,5283.322041,6794.900763,4788.973687,3604.242224,5403.857186
300000,7176.250187,5062.374128,8982.815586,1157.520332,891.2445156,1423.796149,6981.309909,6195.079043,7720.272047,3916.458828,2107.081177,5986.124595
400000,8627.360034,6449.326667,9796.594499,3324.171212,1201.844465,5446.497959,7881.421546,6675.947365,8586.902889,4731.090057,2411.794179,6677.170845
500000,10061.54134,9970.44086,10218.86454,8219.562237,5751.516925,10687.60755,7533.581383,5926.879407,9294.752032,5509.666285,1712.68614,8270.252252
600000,10712.71167,10488.48935,10866.78675,7606.51427,4966.263842,10246.7647,9915.149415,9537.579279,10326.46902,6411.428899,5441.440044,7063.032454
700000,11084.0655,10762.85942,11470.80548,11274.3807,11252.85369,11295.90772,10370.01582,10026.65763,11030.29746,6984.210235,6428.743905,7487.120823
800000,11300.81555,11002.36743,11554.63224,10991.52277,10503.98896,11479.05658,9496.679987,9243.24812,9937.551274,7997.735613,7087.042052,9096.642712
900000,11582.13855,11338.59123,11940.1302,11702.34781,11670.9808,11733.71483,10360.79881,9603.058435,11361.28418,6914.832502,4551.055196,8681.389441
1000000,11715.69166,11502.36019,12091.35689,9093.315825,6852.632232,11333.99942,10760.70225,10482.0739,11120.20321,8991.273654,8441.607019,9328.779822
