"Step","agent.alpha: 0.3 - evaluation/episode.return","agent.alpha: 0.3 - evaluation/episode.return__MIN","agent.alpha: 0.3 - evaluation/episode.return__MAX","agent.alpha: 3 - evaluation/episode.return","agent.alpha: 3 - evaluation/episode.return__MIN","agent.alpha: 3 - evaluation/episode.return__MAX","agent.alpha: 0.1 - evaluation/episode.return","agent.alpha: 0.1 - evaluation/episode.return__MIN","agent.alpha: 0.1 - evaluation/episode.return__MAX","agent.alpha: 0.03 - evaluation/episode.return","agent.alpha: 0.03 - evaluation/episode.return__MIN","agent.alpha: 0.03 - evaluation/episode.return__MAX"
"0","35948.91161409221","33715.76018175853","37928.79974167298","36632.452427377066","33384.6915207058","38290.300745143795","36737.05178408425","34168.41082201654","37944.7565882789","36562.36037289243","33803.67240613814","38156.427902223884"
"100000","194296.29204455804","123248.36908174359","260977.1139018693","186850.7877666935","139935.88694085367","227130.08272886166","193122.32750066294","167574.38319536578","244114.88557187706","178861.18474810882","128084.12325490876","232846.81083102833"
"200000","224402.50057176786","132959.4827931459","283926.1709090977","273653.66936790093","248253.97826523922","299380.70448459825","261100.47480296853","249261.9332409904","283586.6317958532","208806.7864918621","102834.7992531574","261148.0986104202"
"300000","300519.8876173315","233951.14554570706","354043.4548461365","316500.9117173976","241337.2195561353","378685.4003611302","216410.02299560953","29498.674510822566","366372.9833402341","291971.8756083202","254317.66882625196","315413.7700003387"
"400000","323593.30315365334","215350.79129068978","373269.4952027031","362586.9078744188","319093.47357083234","397856.3915309222","231269.91642562658","29497.415074649885","352275.41558561387","337646.6404063497","259818.47039271027","374747.8066675372"
"500000","362077.25798785675","322444.0236459113","380000.3966172808","365572.9884305247","348857.0868790224","374831.88602927973","259554.2532278992","29493.231299000345","367569.7685376148","350806.52579164994","327863.3875572862","372621.96415963414"
"600000","361422.9817930267","324650.75244083337","385227.0239332348","365860.1646781053","316118.0675426248","389928.0845227566","284053.5459396255","29497.90660221635","380116.64844022266","368513.28188469104","362464.2454658483","375870.0826880966"
"700000","381445.47956431366","379030.1868658709","384445.5269415729","380496.1140674739","366272.36121276417","389750.22924467444","279151.3386082899","29496.424711066153","378630.8333787924","370551.92925599765","365697.71755041083","381850.6935993243"
"800000","376130.8846717029","360593.384569205","389918.0270686666","384424.01744680095","365826.4660230272","391628.75683717115","368886.69710406475","345900.4464408569","387114.5874458374","384122.75110912614","380112.71489885234","389080.9632610754"
"900000","392324.2170182604","387154.46472849796","396728.7960905358","389023.0628461625","384003.23051334405","393302.56488189736","377339.7036293298","363194.9765031177","391258.2624436399","383811.78716038633","365982.2533314741","392016.41355633864"
"1000000","393316.218978429","390004.73347066797","395827.8071999693","387308.21244317753","382932.8196471363","393723.4671677929","383041.9829727967","375014.15671845473","392368.17900841666","385843.4642051424","383377.3580728622","388921.99460658163"
