Step,agent.q_agg: min - evaluation/episode.return,agent.q_agg: min - evaluation/episode.return__MIN,agent.q_agg: min - evaluation/episode.return__MAX,agent.q_agg: mean - evaluation/episode.return,agent.q_agg: mean - evaluation/episode.return__MIN,agent.q_agg: mean - evaluation/episode.return__MAX
0,11.53493743,6.588772558,14.25805916,8.843511223,7.090169303,11.59760032
100000,2811.461237,1853.548465,3365.144033,1931.471475,1398.857503,2695.19321
200000,3229.39532,3056.36542,3410.830778,1620.711325,887.3863025,3047.969151
300000,3454.275707,3229.657077,3682.962696,1329.567291,878.9092824,2076.211957
400000,3568.23332,3407.926475,3767.292093,2911.779165,1998.955079,4103.935737
500000,3635.017883,3454.774808,3945.283169,2396.956003,1357.351059,3701.363597
600000,3697.774634,3594.042225,3948.055006,2226.74515,1947.983491,2709.299601
700000,3770.5531,3607.941753,4184.577466,2922.062804,2426.843293,3531.195077
800000,3827.30617,3629.324311,4253.679232,3042.487886,2800.782518,3395.184755
900000,3843.683124,3429.993709,4231.880838,3636.638657,2858.465446,4301.287562
1000000,3987.58457,3779.532405,4294.91714,3794.021437,3723.603993,3864.43888
