Step,agent.q_agg: min - evaluation/episode.return,agent.q_agg: min - evaluation/episode.return__MIN,agent.q_agg: min - evaluation/episode.return__MAX,agent.q_agg: mean - evaluation/episode.return,agent.q_agg: mean - evaluation/episode.return__MIN,agent.q_agg: mean - evaluation/episode.return__MAX
0,-10.01455188,-13.36080949,-1.034198446,-3.666393483,-4.657427242,-2.40869317
100000,4483.680796,3478.687807,5124.081956,2451.413747,682.1450835,3585.561095
200000,5327.438937,4422.434753,5972.763147,3231.316354,2467.309485,4177.933079
300000,5695.166712,4751.903324,6117.317369,3870.78262,2625.089537,4515.777999
400000,6076.190142,5844.16136,6495.779768,3742.004919,2460.268842,4621.05263
500000,6276.262733,5954.667367,6702.629159,4826.240846,4167.404959,5420.298684
600000,6452.317417,5463.939123,6794.121769,3274.831802,1351.684634,4520.467204
700000,6767.741559,6475.050074,7027.497986,4110.008823,2894.993383,5846.607734
800000,6776.980012,6359.74043,7008.304277,4887.627484,2956.145824,6729.222192
900000,6885.056495,6728.942388,7026.560273,5554.315781,3954.485038,7201.103045
1000000,6965.864618,6834.886905,7090.078692,6526.159991,6122.651705,7307.695807
