SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,,,QSM,,SAC,,PPO,,MaxEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.052811768,-36.36363636,0.052795732,157.0247934,0.048298384,395.0413223,0.001685466,-92.84366,-92.84366,-92.84366,0.050579746,-118.1818182,0.002872796,326.7326733,0.066252621,-133.0578512,0.00984366,-112.6005362,0.009264621,986.5951743,0.002872796,269.1918104,0,-74.28678329,-122.2628347,-18.01014926,0.000525292,0
0.066244603,-36.36363636,0.063243493,157.0247934,0.052029727,395.0413223,0.001815117,-30.088295,-31.47118,-28.70541,0.058042432,-118.1818182,0.016224969,386.1386139,0.078939805,-140.4958678,0.012159815,-53.61930295,0.020845397,981.233244,0.016224969,318.1357759,0.1,972.3942689,611.400802,1784.600456,0.005063956,-18.94736842
0.074449241,15.70247934,0.072944986,157.0247934,0.058000493,387.6033058,0.002895544,-2923.632,-2923.632,-2923.632,0.066251388,-118.1818182,0.028513173,495.0495049,0.087894412,-133.0578512,0.01447597,10.72386059,0.026056746,611.2600536,0.028513173,407.8663793,0.2,1973.637248,612.3782592,3213.142602,0.006995259,101.0526316
0.078920069,97.52066116,0.076664611,298.3471074,0.063224374,387.6033058,0.004537793,-88.299095,-88.299095,-88.299095,0.072222154,-125.6198347,0.035463115,613.8613861,0.103566671,-140.4958678,0.017371164,85.79088472,0.030689056,450.4021448,0.035463115,505.7543104,0.3,3148.613741,1296.524969,5642.335072,0.012814408,227.3684211
0.081897126,194.214876,0.078896633,380.1652893,0.068445171,424.7933884,0.005099615,-2854.577,-2854.577,-2854.577,0.080430492,-118.1818182,0.053105688,920.7920788,0.114015049,-147.9338843,0.020266358,176.9436997,0.036479444,632.7077748,0.053105688,758.6314652,0.4,4827.255398,2500.540387,6575.997277,0.019922912,416.8421053
0.082637227,268.5950413,0.084110028,506.6115702,0.071427162,461.9834711,0.005877523,-2881.599,-2881.599,-2881.599,0.088639447,-118.1818182,0.061128038,1099.009901,0.123718392,-170.2479339,0.029530979,353.8873995,0.055587724,745.308311,0.061128038,905.4633623,0.5,5885.694731,3662.299252,7484.328555,0.032205887,701.0526316
0.087855557,335.5371901,0.087829653,647.9338843,0.075151721,543.8016529,0.006785081,-2912.5154,-2912.5154,-2912.5154,0.093117059,-118.1818182,0.072893845,1356.435643,0.136404342,-162.8099174,0.039953677,316.3538874,0.076433121,793.5656836,0.072893845,1117.553879,0.6,6639.778272,4858.028976,7725.011358,0.043846233,934.7368421
0.090835081,402.4793388,0.091550512,774.3801653,0.078134328,573.553719,0.012187216,-372.25388,-372.25388,-372.25388,0.103563587,-103.3057851,0.092151168,831.6831685,0.145358332,-147.9338843,0.053271569,434.3163539,0.10075275,927.613941,0.092151168,1509.105604,0.7,7243.882252,6504.003462,7963.665958,0.056115564,1345.263158
0.096053411,469.4214876,0.101239669,923.1404959,0.081111385,670.2479339,0.012532953,-37.005333,-37.005333,-37.005333,0.116250154,-103.3057851,0.10339151,1198.019802,0.156552362,-147.9338843,0.066589461,471.849866,0.112333526,1067.024129,0.10339151,1810.926724,0.8,7658.343605,6487.14966,8382.894066,0.068391718,1692.631579
0.101271124,543.8016529,0.107943136,1079.338843,0.083344024,744.6280992,0.014304853,-41.28161,-41.28161,-41.28161,0.123713458,-110.7438017,0.108208909,1356.435643,0.169238929,-147.9338843,0.080486393,600.536193,0.123335263,970.5093834,0.108208909,1941.443965,0.9,7981.520326,7144.548176,8389.271863,0.081964048,2040
0.108728876,603.3057851,0.115392254,1242.975207,0.084089059,759.5041322,0.017157181,-22.790247,-22.790247,-22.790247,0.137893795,-125.6198347,0.130661978,1732.673267,0.183419267,-162.8099174,0.089751013,600.536193,0.142443544,1201.072386,0.130661978,2251.422414,1,7778.852855,6734.939527,8415.961263,0.095536378,2387.368421
0.112454669,670.2479339,0.11836746,1361.983471,0.087069199,819.0082645,0.017286832,-41.275314,-41.275314,-41.275314,0.16102689,-110.7438017,0.146702076,2029.70297,0.199091526,-170.2479339,0.118702953,766.7560322,0.157498552,1222.520107,0.146702076,2496.142241,,,,,0.108464713,2696.842105
0.116181078,729.7520661,0.124327125,1488.429752,0.093030097,930.5785124,0.01879943,-49.227356,-49.227356,-49.227356,0.178190453,-103.3057851,0.168082737,2346.534653,0.210284939,-162.8099174,0.127388535,1227.882038,0.170816445,1431.635389,0.168082737,2757.176724,,,,,0.122010438,3290.526316
0.121396941,826.446281,0.130282472,1666.942149,0.096757123,982.6446281,0.021478888,-18.830687,-18.830687,-18.830687,0.216997656,-118.1818182,0.181988757,2663.366337,0.223717775,-162.8099174,0.140127389,1249.329759,0.179502027,1351.206434,0.181988757,3018.211207,,,,,0.140754511,3757.894737
0.127359072,923.1404959,0.135494634,1808.264463,0.102722339,1042.14876,0.022775401,-165.78865,-165.78865,-165.78865,0.246102134,-118.1818182,0.192144418,2811.881188,0.233418034,-147.9338843,0.151129126,1356.568365,0.188187609,1463.806971,0.192144418,3140.571121,,,,,0.167908722,4364.210526
0.128846059,990.0826446,0.139213643,1957.024793,0.109435056,1086.77686,0.023769394,-258.04712,-258.04712,-258.04712,0.279683607,-110.7438017,0.202833981,2960.39604,0.246849636,-133.0578512,0.162130863,1415.549598,0.203821656,1378.016086,0.202833981,3262.931035,,,,,0.186024491,4648.421053
0.134056988,1146.280992,0.142190083,2061.157025,0.117635377,1190.909091,0.024806604,-182.17761,-182.17761,-182.17761,0.296847786,-110.7438017,0.229545231,3168.316832,0.253565437,-125.6198347,0.170816445,1747.989276,0.212507238,1431.635389,0.229545231,3434.234914,,,,,0.20091551,4787.368421
0.13926915,1287.603306,0.145913408,2157.85124,0.123600592,1250.413223,0.025065906,-131.98282,-131.98282,-131.98282,0.314012582,-118.1818182,0.254123939,3415.841584,0.261774393,-125.6198347,0.181818182,1731.903485,0.224088014,1351.206434,0.254123939,3638.168104,,,,,0.205454856,4762.105263
0.147465154,1443.801653,0.150383002,2254.545455,0.124344394,1280.165289,0.028393621,-88.18464,-88.18464,-88.18464,0.331921179,-95.8677686,0.283499334,3554.455446,0.270729616,-125.6198347,0.189345686,2112.600536,0.238563984,1463.806971,0.283499334,3752.37069,,,,,0.21775284,4907.368421
0.152677933,1577.68595,0.1563439,2366.115702,0.131055261,1347.107438,0.029863002,8.740175,8.740175,8.740175,0.352817318,-103.3057851,0.305936294,3722.772277,0.281923029,-118.1818182,0.209033005,2246.648794,0.246670527,1651.474531,0.305936294,3891.045259,,,,,0.23395095,4945.263158
0.157888861,1733.884298,0.169015665,2544.628099,0.136275441,1391.735537,0.029992653,-113.92594,-113.92594,-113.92594,0.374459109,-103.3057851,0.370554645,3930.693069,0.28714691,-118.1818182,0.219455704,2289.544236,0.26462073,1603.217158,0.370554645,4062.349138,,,,,0.241071051,5027.368421
