SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.053284011,-1000.495458,0.053284011,-1000,0.053284011,-1000,0.053284011,-1000,0.053284011,-1000,0.053284011,-1000,0.053284011,-1000
0.0621401,-1000.495458,0.0621401,-1000,0.0621401,-1000,0.0621401,-1000,0.0621401,-1000,0.0621401,-1000,0.0621401,-1000
0.078376262,-1000.495458,0.078376262,-1000,0.078376262,-1000,0.078376262,-1000,0.078376262,-1000,0.078376262,-1000,0.078376262,-1000
0.093873807,-1000.90834,0.093873807,-1000,0.093873807,-1000,0.093873807,-1000,0.093873807,-1000,0.093873807,-1000,0.093873807,-1000
0.11010997,-1000.90834,0.11010997,-1000,0.11010997,-1000,0.11010997,-1000,0.11010997,-1000,0.11010997,-1000,0.11010997,-1000
0.137413805,-1002.559868,0.137413805,-1000,0.137413805,-1000,0.137413805,-1000,0.137413805,-1000,0.137413805,-1000,0.137413805,-1000
0.169151779,-1000.082576,0.169151779,-1000,0.169151779,-1000,0.169151779,-1000,0.169151779,-1000,0.169151779,-1000,0.169151779,-1000
0.214908846,-999.6696945,0.214908846,-1000,0.214908846,-1000,0.214908846,-1000,0.214908846,-1000,0.214908846,-1000,0.214908846,-1000
0.30715794,-1000.90834,0.30715794,-1000,0.30715794,-1000,0.30715794,-1000,0.30715794,-1000,0.30715794,-1000,0.30715794,-1000
0.40531475,-999.6696945,0.40531475,-1000,0.40531475,-1000,0.40531475,-1000,0.40531475,-1000,0.40531475,-1000,0.40531475,-1000
0.59793041,-1002.559868,0.59793041,-1000,0.59793041,-1000,0.59793041,-1000,0.59793041,-1000,0.59793041,-1000,0.59793041,-1000
0.798671465,-1000.495458,0.798671465,-1000,0.798671465,-1000,0.798671465,-1000,0.798671465,-1000,0.798671465,-1000,0.798671465,-1000
0.996457443,-1000.495458,0.996457443,-1000,0.996457443,-1000,0.996457443,-1000,0.996457443,-1000,0.996457443,-1000,0.996457443,-1000
