SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,ManEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.0539482,3051.811092,0.051751266,2473.824574,0.046609575,1438.809228,0.047437165,-295.0506159,0.04743517,-254.7280621,0.053257545,2016.855572,0.063016454,-308.2820771,0.010798429,-80.68669528,0.011386886,-3.433476395,0.002061856,-199.1701245,0,-319.6836467,-374.5428282,-264.8244653,-0.001955671,-320.0025548
0.056915557,3051.850975,0.057686645,2460.46349,0.055512976,1412.047177,0.054856887,-321.8326089,0.054111724,-254.6383234,0.061419107,1990.08355,0.068209329,-308.2122804,0.013643449,-37.76824034,0.020451556,-5.150214592,0.003092784,248.9626556,0.1,8119.909906,6290.439584,9949.380228,0.002607562,-288.1022697
0.062108432,3051.920772,0.063621359,2460.543258,0.063673873,1398.716007,0.063017119,-321.7229284,0.065241972,-308.2521642,0.071803527,2017.104846,0.079336253,-294.6218647,0.018192075,18.88412017,0.029506985,-39.48497854,0.006701031,680.4979253,0.2,11474.11081,10735.61784,12212.60377,0.004563233,-266.8238424
0.068784986,3052.010511,0.070296583,2487.514699,0.064410394,1506.252788,0.071176686,-308.1723965,0.076368896,-294.6617485,0.071798209,2124.631656,0.088238325,-294.5022132,0.025011368,90.98712446,0.034625102,27.46781116,0.006185567,912.8630705,0.3,13038.95728,12034.378,14043.53657,0.005867014,-128.3925728
0.071008509,3092.362977,0.071776273,2568.179748,0.066629929,1627.250362,0.077852575,-294.6418066,0.080076098,-254.2893399,0.071793556,2218.717615,0.096397227,-267.5108301,0.031261657,154.5064378,0.044277256,99.57081545,0.009278351,2008.298755,0.4,13661.09214,12498.61758,14823.56669,0.008474576,159.1195938
0.071003191,3199.889788,0.073997802,2648.854769,0.069592633,1721.376205,0.081559112,-240.8285467,0.086746669,-133.2319398,0.074005114,2501.005405,0.10307378,-267.4210915,0.035251006,236.9098712,0.056772484,207.7253219,0.012886598,2473.029046,0.5,15708.58703,14240.57461,17176.59945,0.014341591,521.1444392
0.072483546,3267.113986,0.075476163,2756.401521,0.071808845,1909.578036,0.091936885,-79.39873794,0.096381938,41.62874933,0.077701681,2756.431434,0.109008495,-267.3413238,0.041501295,300.4291845,0.063599071,305.5793991,0.017525773,3004.149378,0.6,16114.28562,15065.9799,16762.59135,0.023468057,1160.024882
0.076183436,3455.335759,0.075474169,2796.724075,0.073285876,2044.00649,0.094160409,-39.04627123,0.10008914,82.00115796,0.080657738,2984.96579,0.115685048,-267.2515852,0.050594171,398.2832618,0.070443653,466.9527897,0.019072165,3618.257261,0.7,17103.32308,16095.75326,18010.89289,0.021512386,2065.264026
0.076183436,3455.335759,0.076949871,2958.034232,0.076246586,2178.454887,0.098605462,81.98121604,0.118617839,431.7125652,0.081395588,3065.620868,0.12384528,-267.1419047,0.056275943,454.9356223,0.078363506,424.0343348,0.027319588,4149.377593,0.8,16397.46578,14039.36014,18755.57142,0.032594524,2704.123641
0.079140822,3656.988412,0.077681074,3173.097824,0.079946476,2366.67666,0.102307346,229.8804349,0.122323047,512.4075277,0.085093484,3294.165195,0.140906918,-253.4717214,0.05913312,540.7725322,0.090849007,497.8540773,0.029381443,4448.13278,0.9,17236.02619,15645.77622,18826.27616,0.033898305,3449.583665
0.080616524,3818.298569,0.079896621,3374.740506,0.08364836,2514.575879,0.103785707,337.4271871,0.131951669,821.6767296,0.088048876,3536.140402,0.162422916,-306.9459687,0.065959221,636.9098712,0.10105363,520.1716738,0.032474227,4813.278008,1,17494.58628,16272.07584,18717.09672,0.048891786,3992.55498
0.081349057,4006.480458,0.07988798,3549.471572,0.084378234,2756.521173,0.107487591,485.326406,0.139362085,983.0666545,0.091742784,3845.329836,0.174292344,-306.7864334,0.074479203,712.4463519,0.119807414,721.0300429,0.040721649,5510.373444,,,,,0.054758801,4684.718271
