SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,MaxEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.052505967,486.8586859,0.054097056,404.050405,0.047732697,285.2385239,0.046937152,209.6309631,0.048528242,270.8370837,0.046937152,206.0306031,0.062052506,219.6219622,0.010371488,21.42433711,0.010376176,54.09217966,0.00250149,11.99843715,0,11.33647168,6.323307592,18.2543579,0,6.255585344
0.060461416,586.8586859,0.062052506,504.050405,0.054892601,385.2385239,0.052505967,309.6309631,0.053301512,370.8370837,0.050914877,313.2313231,0.067621321,212.4212421,0.013248,64.96062377,0.016691271,57.67609911,0.001931767,148.551486,0.1,2673.657682,1853.548465,3098.83654,0.003947368,50.04468275
0.068416866,586.8586859,0.068416866,504.050405,0.062848051,385.2385239,0.058870326,306.0306031,0.060461416,378.0378038,0.057279236,313.2313231,0.070007955,212.4212421,0.014976929,112.1350054,0.021856699,50.37907241,0.004971849,305.1413646,0.2,3332.484716,3299.910414,3370.906341,0.010526316,131.3672922
0.074781225,586.8586859,0.073190135,511.2511251,0.069212411,392.4392439,0.062848051,306.0306031,0.066030231,374.4374437,0.062848051,313.2313231,0.074781225,208.8208821,0.017279388,155.6754594,0.02186243,90.30643553,0.007000126,405.5185339,0.3,3481.100494,3460.027886,3518.667449,0.019078947,206.4343164
0.07875895,619.2619262,0.07716786,536.4536454,0.070007955,414.0414041,0.066825776,320.4320432,0.069212411,388.8388839,0.066825776,324.0324032,0.07716786,208.8208821,0.0201559,199.2117461,0.028184818,144.706999,0.010063557,501.8671673,0.4,3544.935395,3392.678555,3767.292093,0.022368421,300.2680965
0.08194113,640.8640864,0.079554495,543.6543654,0.07239459,442.8442844,0.068416866,327.6327633,0.071599045,406.8406841,0.070007955,342.0342034,0.084327765,208.8208821,0.022457319,235.4926795,0.028190548,184.6343621,0.012056032,694.6142459,0.5,3695.702042,3604.723326,3945.283169,0.026973684,387.8462913
0.086714399,651.6651665,0.084327765,565.2565257,0.07398568,478.8478848,0.069212411,360.0360036,0.07239459,424.8424842,0.070007955,352.8352835,0.089101034,208.8208821,0.025335393,289.918247,0.033359622,202.7456574,0.012504339,871.3156719,0.6,3781.871884,3646.996483,3948.055006,0.026973684,472.2966935
0.091487669,655.2655266,0.085918854,579.6579658,0.077963405,511.2511251,0.071599045,367.2367237,0.074781225,442.8442844,0.07239459,367.2367237,0.095465394,208.8208821,0.028213468,344.3438146,0.04426974,224.4450394,0.013474114,1035.962622,0.7,3508.143893,2518.97412,4184.577466,0.030263158,569.2582663
0.096260939,666.0666067,0.089101034,604.860486,0.081145585,547.2547255,0.07398568,403.240324,0.076372315,464.4464446,0.074781225,396.039604,0.098647574,205.2205221,0.028794292,391.5265309,0.054606847,253.4081095,0.01497314,1168.474682,0.8,3920.820981,3668.854972,4253.679232,0.034210526,666.2198391
0.098647574,720.0720072,0.090692124,626.4626463,0.085918854,579.6579658,0.076372315,435.6435644,0.08035004,486.0486049,0.08194113,453.6453645,0.105807478,205.2205221,0.034532731,376.9658163,0.063220235,271.4944006,0.020047726,1409.377398,0.9,4018.939672,3774.880604,4231.880838,0.041447368,760.0536193
0.103420843,748.8748875,0.094669849,658.8658866,0.088305489,586.8586859,0.077963405,453.6453645,0.082736675,504.050405,0.085918854,482.4482448,0.112171838,208.8208821,0.037397783,340.6473767,0.07298329,300.461638,0.023595266,1590.057548,1,4041.725515,3751.13763,4294.91714,0.047368421,857.0151921
0.105807478,774.0774077,0.097056484,694.8694869,0.092283214,626.4626463,0.08035004,486.0486049,0.085123309,518.4518452,0.092283214,532.8532853,0.116149562,208.8208821,0.040263356,307.9586974,0.087334074,296.727694,0.032265647,1887.141841,,,,,0.053289474,966.4879357
0.105807478,795.679568,0.100238663,730.8730873,0.095465394,658.8658866,0.08194113,500.450045,0.089101034,550.8550855,0.095465394,561.6561656,0.125696102,212.4212421,0.04716188,376.8741346,0.105705308,307.4836197,0.03582097,2047.741576,,,,,0.059210526,1066.577301
0.108989658,817.2817282,0.102625298,777.6777678,0.097852029,687.6687669,0.08194113,511.2511251,0.092283214,565.2565257,0.101034208,604.860486,0.129673827,219.6219622,0.049462256,405.8955475,0.110869694,292.9270724,0.048577482,2469.27463,,,,,0.065789474,1176.050045
0.109785203,846.0846085,0.104216388,838.8838884,0.100238663,712.8712871,0.08353222,529.2529253,0.097852029,601.260126,0.103420843,619.2619262,0.136038186,226.8226823,0.055199652,384.0753123,0.124652157,329.1246589,0.058795144,2774.372409,,,,,0.069736842,1257.372654
0.112967383,874.8874887,0.107398568,874.8874887,0.101829753,745.2745275,0.084327765,536.4536454,0.098647574,619.2619262,0.107398568,651.6651665,0.143993636,241.2241224,0.060941216,391.2931594,0.139009713,372.5775986,0.069087524,2886.698204,,,,,0.076315789,1366.845398
0.115354018,910.8910891,0.111376293,921.6921692,0.104216388,774.0774077,0.085918854,583.2583258,0.101829753,655.2655266,0.110580748,684.0684068,0.151949085,252.0252025,0.066686948,427.5490888,0.148773289,405.1745963,0.082511826,2918.664979,,,,,0.080263158,1498.21269
0.118536197,957.6957696,0.113762928,964.8964896,0.105807478,799.279928,0.088305489,608.4608461,0.104216388,684.0684068,0.115354018,723.6723672,0.161495625,255.6255626,0.08046941,463.7466752,0.157959687,415.9971995,0.102151718,2914.41229,,,,,0.082236842,1557.640751
0.119331742,997.29973,0.117740652,1022.50225,0.108194113,824.4824482,0.089896579,640.8640864,0.108194113,727.2727273,0.118536197,781.2781278,0.167859984,259.2259226,0.087358037,463.6966671,0.164843105,379.6495885,0.119735312,2882.071925,,,,,0.088815789,1670.241287
0.121718377,1033.30333,0.120922832,1069.306931,0.111376293,856.8856886,0.092283214,698.469847,0.110580748,748.8748875,0.120127287,824.4824482,0.185361973,270.0270027,0.091950454,463.6633283,0.17057998,354.1995931,0.125972694,2789.627298,,,,,0.092763158,1745.308311
0.124105012,1080.108011,0.124105012,1098.109811,0.115354018,885.6885689,0.093874304,738.0738074,0.115354018,788.4788479,0.122513922,871.2871287,0.194908512,280.8280828,0.093681988,528.9865113,0.180345119,397.6858715,0.154950756,2692.892623,,,,,0.094736842,1870.420018
0.124900557,1108.910891,0.128878282,1152.115212,0.121718377,925.2925293,0.095465394,777.6777678,0.117740652,806.4806481,0.124105012,885.6885689,0.195704057,280.8280828,0.097139324,619.7055143,0.18609085,433.9418009,0.172509445,2724.809586,,,,,0.099342105,1939.231457
0.126491647,1137.713771,0.131264916,1198.919892,0.125696102,957.6957696,0.096260939,799.279928,0.119331742,824.4824482,0.126491647,900.090009,0.178202068,262.8262826,0.097724315,695.9263129,0.193552487,426.6281048,0.187997827,2764.783622,,,,,0.104605263,2023.681859
0.128082737,1166.516652,0.132060461,1231.323132,0.127287192,972.0972097,0.101829753,838.8838884,0.124900557,864.0864086,0.128878282,918.0918092,0.203659507,291.6291629,0.103483591,826.5560097,0.203311375,426.5572599,0.201459488,2700.364405,,,,,0.107894737,2101.876676
0.130469372,1188.118812,0.135242641,1270.927093,0.131264916,1040.50405,0.111376293,914.4914491,0.128082737,892.8892889,0.130469372,939.6939694,0.206841687,291.6291629,0.105220854,931.8065559,0.211352794,459.1667596,0.218540294,2631.88552,,,,,0.113815789,2201.966041
0.131264916,1213.321332,0.136038186,1288.928893,0.133651551,1083.708371,0.112967383,943.2943294,0.131264916,918.0918092,0.132856006,979.2979298,0.216388226,298.829883,0.11096919,986.2112866,0.216523952,491.797096,0.234609296,2507.193925,,,,,0.119736842,2286.416443
0.131264916,1238.523852,0.137629276,1328.532853,0.136038186,1123.312331,0.115354018,990.0990099,0.135242641,943.2943294,0.134447096,1004.50045,0.22354813,306.0306031,0.120170174,1098.667178,0.220546485,520.8060068,0.262027624,2434.574428,,,,,0.127631579,2355.227882
0.132060461,1249.324932,0.140015911,1386.138614,0.140015911,1155.715572,0.116945107,1044.10441,0.137629276,968.4968497,0.135242641,1040.50405,0.23150358,309.6309631,0.128780957,1098.604668,0.221699799,557.095275,0.269770258,2458.577528,,,,,0.131578947,2377.122431
