SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,MaxEntDP,,TD3,,Crossq,,SMFP,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.052475979,656.8201564,0.052475979,531.7115552,0.046563193,385.7515204,0.045824095,469.1572546,0.047302291,323.1972198,0.04804139,469.1572546,0.062084257,145.9600348,0.009593679,163.4877384,0.010722348,168.9373297,-0.001916941,22.76477635,0.0005,69.00591686,-7.24E-05,105.6641661
0.059127864,656.8201564,0.059866962,552.5629887,0.053954176,375.3258036,0.059127864,469.1572546,0.056171471,302.3457863,0.062084257,458.7315378,0.070214339,125.1086012,0.020316027,386.9209809,0.021444695,163.4877384,0.002730536,181.8478956,0.001,118.6268095,0.006452313,197.7151575
0.067257945,656.8201564,0.06947524,542.1372719,0.062823356,364.9000869,0.067997044,521.2858384,0.065779749,312.771503,0.087213599,510.8601216,0.079822616,125.1086012,0.040632054,463.2152589,0.029909707,217.9836512,0.010173037,352.2100472,0.0015,66.76721635,0.014940422,294.3611607
0.073170732,729.8001738,0.07390983,583.840139,0.073170732,406.602954,0.077605322,583.840139,0.073170732,323.1972198,0.110864745,521.2858384,0.089430894,135.534318,0.051354402,485.013624,0.048532731,196.1852861,0.021812048,488.3057777,0.002,155.7316276,0.031289498,381.7628684
0.082039911,844.4830582,0.080561715,646.3944396,0.081300813,458.7315378,0.084996305,656.8201564,0.081300813,364.9000869,0.135254989,542.1372719,0.096821877,135.534318,0.060948081,555.8583106,0.056433409,256.1307902,0.027392377,635.9826574,0.0025,70.16577103,0.054165662,552.0074533
0.084996305,886.1859253,0.084257206,698.5230235,0.087952698,490.0086881,0.090909091,740.2258905,0.090169993,375.3258036,0.153732446,615.1172893,0.106430155,125.1086012,0.079006772,544.9591281,0.06772009,277.9291553,0.037165684,794.8908669,0.003,139.7933387,0.071175648,616.3858604
0.097560976,1011.294526,0.088691796,761.0773241,0.098300074,552.5629887,0.100517369,896.6116421,0.098300074,375.3258036,0.172209904,677.6715899,0.11751663,114.6828844,0.08972912,566.7574932,0.078442438,397.8201635,0.045999071,1056.200818,0.0035,116.8558369,0.080960249,763.6704617
0.107908352,1209.383145,0.091648189,844.4830582,0.112342942,667.2458732,0.10421286,1032.14596,0.110864745,417.0286707,0.180339985,698.5230235,0.134515891,114.6828844,0.100451467,681.1989101,0.091422122,294.2779292,0.051116949,1158.395847,0.004,146.1648997,0.091415408,851.0993053
0.112342942,1365.768897,0.096082779,948.7402259,0.124168514,802.7801911,0.110864745,1240.660295,0.127124908,437.8801043,0.225424982,781.9287576,0.15668884,135.534318,0.111738149,670.2997275,0.104401806,359.6730245,0.05856475,1260.511373,0.0045,211.5728706,0.100540306,1016.80315
