SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,MaxEntDP,,,,TD3,,Crossq,,SMPO,,,,QVPO,,,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y,X,Y,X,Y,MIN,MAX,X,Y,MIN,MAX
0.051409437,76853.74581,0.052926715,70086.58323,0.046770218,51469.89524,0.046720376,25412.3319,0.047535977,51808.823,0.053658167,52489.78556,0.065075294,21363.84115,0.01,38872.89844,38662.26953,39086.57031,0.002696872,27551.63537,0.001387258,53831.04126,0,36543.83145,33384.69152,38290.30075,-0.02,2025.973022,2025.973022,2025.973022
0.059059262,76182.10441,0.059812722,70091.24381,0.051360889,51473.00229,0.055136607,25418.02816,0.054421984,51813.48358,0.06360527,52834.92742,0.092618676,21044.07355,0.02,99156.75586,92263.11719,107665.125,0.024271845,28384.90774,0.002852986,64833.00589,0.1,194238.4916,155276.6837,225060.4977,-0.0155,1572.278076,1572.278076,1572.278076
0.065180157,76186.24715,0.068228954,70096.94007,0.057481785,51477.14503,0.062787079,25084.79667,0.063603975,52158.1076,0.070491924,53177.99792,0.11557074,20382.78899,0.03,114179.0605,104131.5703,127832.1719,0.057173679,34370.39514,0.005800909,73477.40668,0.2,283888.5657,249652.0383,304685.7022,-0.015,1456.744507,1456.744507,1456.744507
0.068241252,76526.72843,0.073584737,70100.56497,0.062838216,51819.17984,0.07273936,28137.21784,0.071262862,56224.20498,0.074320073,54534.22678,0.143114769,20401.43132,0.04,121705.7363,98401.22656,130689.6406,0.069579288,41243.49877,0.007764092,80943.02554,0.3,304665.2016,241337.2196,353917.0454,-0.0145,1343.346313,1343.346313,1343.346313
0.072839692,80590.75444,0.074358264,74500.41168,0.074320073,54534.22678,0.076570745,31185.49627,0.076627708,60965.56867,0.080448089,58260.87857,0.167602235,22448.46175,0.05,130532.0625,120821.9766,136208.0625,0.078209277,45107.48587,0.014648555,96267.19057,0.4,350711.4645,319093.4736,367150.5551,-0.014,2382.427002,2382.427002,2382.427002
0.073606745,81606.50203,0.075893666,77208.72668,0.075092953,58595.66359,0.082698761,34912.14806,0.084298246,71123.0445,0.08581164,62325.42243,0.189790481,22463.47917,0.06,135867.5605,128798.7109,146028.9688,0.090614887,50688.87797,0.015618764,109233.7917,0.5,373938.8725,344744.4826,382240.2488,-0.0135,1548.599854,1548.599854,1548.599854
0.07897677,89055.14502,0.078965765,83302.17649,0.076629002,61642.3885,0.089592536,38977.7276,0.092728718,78573.75886,0.09117778,67743.60594,0.225759804,27225.55655,0.07,123148.4297,86799.89063,142637.9063,0.104099245,59713.4407,0.021525267,117878.1925,0.6,383667.4152,360846.8395,398227.3216,-0.013,3084.651951,978.161438,7350.466797
0.078986479,94131.29373,0.082801035,88380.91441,0.080467508,68413.17598,0.093425216,42702.82587,0.10498216,84673.42278,0.097308385,72823.89738,0.27167364,30979.13614,0.08,133625.334,102040.7422,152594.7656,0.118662352,63139.19341,0.030387929,128487.2299,0.7,385312.0549,300284.0532,399750.2292,-0.0125,1361.480347,1361.480347,1361.480347
0.082821101,98871.62173,0.08664213,96505.34154,0.081244919,74843.48218,0.099553232,46429.47765,0.12335132,88069.95013,0.10343899,77904.18883,0.309932473,32697.07782,0.09,141633.9609,128366.1406,153746.7188,0.161272923,69973.28094,0.044175744,143811.3949,0.8,391006.8699,366026.8691,404364.9838,-0.012,1206.450317,1206.450317,1206.450317
0.088188536,104966.6251,0.089713581,102260.3814,0.086611706,80600.0756,0.105682542,50832.94927,0.14171789,90112.83783,0.10880772,84676.01199,0.363496782,36117.42591,0.1,148011.3945,143789.4531,153077.125,0.185005394,71234.33695,0.051569287,146168.9587,0.9,388295.5711,371573.3189,405302.5649,-0.0115,959.1027832,959.1027832,959.1027832
0.088964005,110381.7015,0.092792801,112076.3403,0.091214029,86694.5611,0.113345313,56929.50613,0.163143613,91480.97706,0.112644284,90431.56974,0.389517708,39857.5416,0.11,143222.2324,120078.2266,153807.875,0.220604099,71188.35369,0.06685044,150098.2318,1,385659.376,350321.8412,427723.4672,-0.011,2521.22998,2521.22998,2521.22998
0.091270345,116136.2236,0.096630659,118508.7179,0.094286129,92788.01092,0.121009378,63702.88283,0.183036523,91494.44096,0.118774889,95511.86118,0.420127363,42585.53459,0.12,143743.7813,131611.1563,154233.5625,0.265911543,72852.11157,0.075723757,152062.8684,,,,,-0.0105,1396.98291,1396.98291,1396.98291
0.094335971,118845.5743,0.104297314,126635.7342,0.105774459,98887.15699,0.128672149,69799.43969,0.196805302,89811.71256,0.126438954,102285.2379,0.460681532,44305.0298,0.13,146854.2129,129045.9766,154704.0313,0.32038835,74504.02528,0.098402328,155206.2868,,,,,-0.01,1887.206055,1887.206055,1887.206055
0.099700169,123248.528,0.111194325,132393.3633,0.115729329,103293.2178,0.134799517,73187.68157,0.203690014,89139.55331,0.131802505,106349.7817,0.511946621,45693.36489,0.14,147451.6289,139496.25,152301.5625,0.34789644,75329.63377,0.119100762,164636.5422,,,,,-0.0095,838.5053101,838.5053101,838.5053101
0.105062426,126636.2521,0.115794059,137134.2092,0.13257409,109734.3987,0.141695882,78606.90077,0.207515574,89142.14252,0.137160878,107707.0463,0.555565769,49783.80086,0.15,136308.918,118756.6406,153375.7188,0.393203883,77423.96215,0.128459427,172888.0157,,,,,-0.009,6333.344938,208.1025848,28086.53906
0.111190442,130362.9039,0.122690424,142553.4284,0.14941691,115160.3499,0.147825839,83348.78229,0.216697565,89486.76654,0.144813939,108727.4544,0.590763507,51161.26126,0.16,145580.332,136601.0313,153341.5313,0.45631068,83370.43346,0.135846673,180353.6346,,,,,-0.0085,2181.743164,2181.743164,2181.743164
0.11579147,135780.5695,0.132647883,148313.1289,0.16166841,120244.784,0.160844394,89448.96406,0.223585514,90506.65686,0.158582718,107044.726,0.644324578,52889.55978,0.17,147522.2656,133021.75,154004.6563,0.512944984,85450.13081,0.152107722,189390.9627,,,,,-0.008,1273.278564,1273.278564,1273.278564
0.123452946,141200.3066,0.139542305,152717.1183,0.173152857,124313.4706,0.170799911,94193.4348,0.23123987,92203.88485,0.167763413,106712.5302,0.681816358,53591.75388,0.18,136524.3145,97572.27344,153139.75,0.584681769,88371.46112,0.162944707,198428.2908,,,,,-0.0075,2009.90979,2009.90979,2009.90979
0.130344779,144250.6564,0.145670968,156782.18,0.189229269,129062.0841,0.182279179,95554.84208,0.235831836,92883.81173,0.183066299,107061.297,0.71854173,53616.61031,0.19,141078.6172,115005.8125,155080.375,0.645091694,91307.42246,0.185117103,212180.7466,,,,,-0.007,1295.115479,1295.115479,1295.115479
0.137999783,146286.2943,0.160219099,162544.9875,0.209130595,133474.8769,0.195286082,95563.6454,0.249604498,93231.54281,0.195309385,107746.4023,0.795822567,56037.78177,0.2,136762.293,104022.2344,154145.7344,0.749730313,91602.83006,0.198909278,223968.5658,,,,,-0.0065,2450.227051,2450.227051,2450.227051
0.145656728,149337.1619,0.170170085,164920.5889,0.229026094,134841.9804,0.213650063,96252.89344,0.264906737,93241.89965,0.206023541,109107.2917,0.820306796,56392.76264,0.21,149540.5039,145580.4844,154349,0.792880259,94991.65683,0.210729066,235756.3851,,,,,-0.006,1880.994385,1880.994385,1880.994385
0.154075548,150696.4978,0.18164547,164251.5367,0.253514207,137227.4208,0.242726258,97287.80119,0.276383416,93249.66729,0.212910196,109450.3622,0.850146808,56751.3684,0.22,145771.3438,122832.7344,155646.5781,0.87162891,99626.21185,0.227971949,248330.0589,,,,,-0.0055,7685.432129,7685.432129,7685.432129
0.167080509,149690.0714,0.183175046,163914.1625,0.28335422,137586.0265,0.257262738,96959.23028,0.288625206,93257.95276,0.228213082,109799.129,0.879219767,56094.22658,0.23,149090.2109,134921.2188,156275.5781,0.906148867,102595.6156,0.244234451,256188.6051,,,,,-0.005,8099.141959,853.0147095,22697.75781
0.175493504,148003.7181,0.188532124,164594.6072,0.302481371,137260.5627,0.271799864,96969.06928,0.299338068,93942.02238,0.241214159,106762.2431,0.91518197,57133.7949,0.24,155562.8008,154732.25,156881.1563,0.946601942,104557.3554,0.253108737,257367.387,,,,,-0.0045,17542.98633,17542.98633,17542.98633
0.182378864,147669.9688,0.193126032,166289.7638,0.318550663,138286.6671,0.295518982,97323.53231,0.311580506,94288.71777,0.244272017,105410.6748,0.932778897,56807.29536,0.25,152630.0742,142119.5781,156369.8906,0.974110032,104952.3934,0.258039219,257760.3143,,,,,-0.004,520.9249878,520.9249878,520.9249878
0.193862016,151061.8355,0.199249517,167647.5462,0.336153416,141005.8568,0.321533434,97679.54886,0.319229684,93278.66645,0.250390971,104399.5878,0.961089333,57503.27535,0.26,153601.9023,151886.125,155611.9688,0.989751888,105193.3296,0.275296149,258939.0963,,,,,-0.0035,127.2999268,127.2999268,127.2999268
