SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,MaxEntDP,,,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.001081081,2.715151515,0.002702703,2.327272727,,,0,3.727054,,,-0.000472411,17.97619048,-0.001439539,16.95268925,0.01,-11.05972595,-13.4027071,-10.20844746,0.000481,17.61874699,0,9.458086014,0,-1.125767905,-17.80849386,21.80519647,0.01,-20.22990227
0.004864865,3.296969697,0.008108108,4.072727273,,,0.002994,-2.711076,,,0.00865944,19.46428571,0.007197697,18.45955752,0.02,24.65847564,14.50038433,35.01452255,0.016835017,17.4650702,0.00769,-8.485663414,0.1,71.32604364,46.24197597,137.1185348,0.02,-2.135789394
0.018918919,6.593939394,0.017297297,9.115151515,,,0.005988,-14.483393,,,0.01148675,31.66666667,0.126,22.22396043,0.03,26.42250681,18.34143257,33.5641861,0.019240019,19.10125919,0.015385,8.608276367,0.2,95.44012185,58.42849508,126.7037391,0.03,36.91495132
0.033513514,11.24848485,0.02972973,11.24848485,,,0.008982,21.114079,,,0.020625759,31.66666667,0.164,29.24927346,0.04,27.04404593,20.26258469,37.09289169,0.024050024,18.05816097,0.02307,14.92146206,0.3,101.6209008,52.77040157,126.6486713,0.04,33.14610291
0.049189189,15.9030303,0.041621622,12.60606061,,,0.011976,39.566437,,,0.025471552,24.22619048,0.202,32.26156595,0.05,29.98820686,26.12929153,36.55405426,0.027417027,21.03334937,0.03076,13.54405308,0.4,127.5758366,93.9914965,139.7633865,0.05,28.72308731
0.063783784,23.85454545,0.059459459,17.84242424,,,0.01497,-2.4066403,,,0.037455049,32.85714286,0.24,35.27855162,0.06,33.57017803,28.80932617,38.72761917,0.028860029,26.68768181,0.03845,-5.566372871,0.5,132.1983402,109.5996452,142.905871,0.06,40.3254509
0.074594595,23.66060606,0.074594595,21.91515152,,,0.017964,18.85446,,,0.038939566,24.22619048,0.278,36.78854867,0.07,34.3456111,29.59700966,38.84804916,0.035594036,19.69163002,0.04614,30.02319527,0.6,136.2869905,112.6916627,145.1336163,0.07,37.24178314
0.091351351,29.67272727,0.089189189,23.27272727,,,0.020958,-12.11557,,,0.050433473,34.64285714,0.316,36.79227914,0.08,35.37749863,30.72972488,41.10932541,0.039442039,31.59524668,0.05383,-20.65556335,0.7,136.7607251,125.9782813,147.9405905,0.08,41.01776505
0.108108108,32.96969697,0.13027027,25.21212121,,,0.023952,29.497627,,,0.055262088,30.77380952,0.354,36.54354118,0.09,34.82140207,28.71717262,39.58263397,0.041847042,49.15405472,0.06152,-7.303079128,0.8,136.1119512,123.9280635,148.9189082,0.09,42.85426712
0.116756757,31.80606061,0.163243243,30.44848485,,,0.026946,1.6422886,,,0.062922307,38.21428571,0.392,37.79986643,0.1,36.89174366,34.87567902,40.77373123,0.05002405,22.81233537,0.06921,1.270794034,0.9,137.0993806,129.4022589,151.8826414,0.1,48.94754791
0.14,39.36969697,0.188108108,32.96969697,,,0.02994,40.979534,,,0.06676029,40.29761905,0.43,38.80745372,0.11,36.76236534,33.92910385,41.30916977,0.056277056,30.84618864,0.0769,4.94506979,1,137.3713293,130.4894898,152.5492181,0.11,45.05495453
