SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,MaxEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.053358384,293.7994049,0.053354793,329.0935437,0.046237668,276.1942327,0.046255624,99.72353882,0.04839118,111.4756826,0.055501123,234.9632712,0.064780139,40.79104168,0.010133125,-0.213348472,0.010133589,4.16493321,0.001877349,14.34977578,0,-7.935789001,-12.17649161,-1.829504577,0,4.651162791
0.059769243,287.8793411,0.059765053,329.0558363,0.050511175,276.1690944,0.051953633,99.69002112,0.059787199,111.4086472,0.066184291,240.782782,0.082585819,46.56865532,0.01384678,56.68808036,0.020197143,4.120872113,0.007576385,179.3721973,0.1,4155.126785,2000.953867,4790.110999,0.003939593,93.02325581
0.067603407,293.7156107,0.066175313,329.0181289,0.056209184,276.1355767,0.055514889,99.66907256,0.064772956,111.3793192,0.074731305,240.7325054,0.099680445,40.58574576,0.015975163,148.6227197,0.02603779,139.8220952,0.011368204,416.1434978,0.2,5088.401171,4207.96825,5972.763147,0.01116218,172.0930233
0.07329962,311.3291624,0.069734175,352.5266062,0.059058787,270.2364614,0.060500048,105.522101,0.076880029,123.072807,0.089688579,240.6445214,0.117486125,46.36335941,0.018099371,201.1528238,0.027634657,214.2459268,0.01801786,595.5156951,0.3,5458.705093,4907.779731,6095.820576,0.018384767,283.7209302
0.076143836,358.3712552,0.07471694,381.9090605,0.06190839,264.3373461,0.064772956,111.3793192,0.085425247,140.6695999,0.094674337,240.6151935,0.145260926,75.61174293,0.027643933,301.8115604,0.038237148,301.7651803,0.025136855,882.5112108,0.4,5848.917973,5446.882006,6495.779768,0.028233749,423.255814
0.081121813,434.8125612,0.077564149,399.539371,0.064757395,264.3205872,0.067621961,111.3625604,0.091122059,152.4007951,0.108916367,269.9431815,0.16377766,93.14987979,0.039829377,332.4061951,0.051479131,306.0854869,0.033688607,1076.233184,0.5,5943.377717,3938.649026,6702.629159,0.03348654,558.1395349
0.077564748,393.6570146,0.08254452,452.4512512,0.06831865,264.2996387,0.070470367,117.228158,0.098243373,164.1236109,0.118173237,293.4181411,0.185144596,98.90654487,0.046713576,319.241203,0.064729463,389.2148637,0.039386363,1262.780269,0.6,6292.411345,5415.824243,6753.992499,0.042678923,730.2325581
0.082542126,475.980677,0.086102185,487.7244414,0.069030902,264.295449,0.076165384,146.6064226,0.105364688,175.8464267,0.128139965,340.4183368,0.20508284,145.8480846,0.048830827,306.0970819,0.069501047,432.9768095,0.041759503,1356.053812,0.7,6418.437868,5958.057657,7027.497986,0.047275115,865.1162791
0.086095002,558.3127189,0.088237741,499.4765852,0.071878709,276.043403,0.07758809,164.2451126,0.118895664,193.4138915,0.13454424,399.204194,0.234282742,169.2057322,0.060486611,336.6940356,0.079031231,397.9088139,0.049360208,1542.600897,0.8,6392.872325,4852.869058,7008.304277,0.057124097,1093.023256
0.088229362,581.8295757,0.091792413,564.1615577,0.076860277,317.1905703,0.083282508,199.5057336,0.13242664,210.9813564,0.145217234,505.0237646,0.25849569,204.3574208,0.071079826,336.6476555,0.092277852,446.0119373,0.054107768,1707.623318,0.9,6506.118117,5243.865664,7025.440432,0.065659882,1232.55814
0.090358933,652.4052841,0.094638425,593.5565812,0.078995235,334.8250705,0.089689776,228.8798085,0.143109808,216.8008672,0.153758262,563.7970527,0.306926972,221.7195897,0.078505281,432.9373864,0.101280694,432.8376692,0.056955793,1815.246637,1,6694.551674,6495.357111,7036.97483,0.070912672,1395.348837
0.091066994,693.5775896,0.096058139,640.6070534,0.081130791,346.5772143,0.092535788,258.274832,0.163763296,234.3264349,0.162292706,687.2762619,0.280574278,215.9922526,0.090160137,454.7777767,0.111894316,625.4356831,0.060748038,2044.843049,,,,,0.076822062,1581.395349
0.093193573,793.5650803,0.097477853,687.6575257,0.083976205,381.8545942,0.098230804,287.6530966,0.170885807,234.2845377,0.167982935,763.7133782,0.326864617,274.5434859,0.102875705,489.748374,0.11877666,594.7575642,0.06406924,2195.515695,,,,,0.086014445,1786.046512
0.094609097,881.7920478,0.098899961,711.1785721,0.086110564,405.3714509,0.099652912,311.174143,0.181566581,263.6334744,0.176523963,822.4866662,0.348232151,274.4177945,0.110822936,511.6049974,0.129919943,787.3532592,0.069766569,2389.237668,,,,,0.091923835,1958.139535
0.096742259,917.0736174,0.100322069,734.6996186,0.08824612,417.1235947,0.103923426,340.560787,0.190111799,281.2302672,0.182218381,857.7472873,0.368175781,268.4181261,0.121437023,708.581293,0.141550218,577.1447203,0.073566068,2496.860987,,,,,0.096520026,2125.581395
0.098161973,964.1240897,0.10245583,764.0988317,0.091091534,452.4009746,0.108903798,393.4726672,0.201506621,292.9279447,0.19930762,904.7055859,0.377435046,268.3636599,0.128317511,660.3900474,0.149490955,537.7054001,0.078312348,2683.408072,,,,,0.101772817,2293.023256
0.101717842,1017.044349,0.103876143,805.2669475,0.094650395,475.9094519,0.11459642,446.3803577,0.212900245,316.3903352,0.205717282,910.550235,0.39239232,268.2756759,0.138931133,852.9880613,0.161156942,664.6245508,0.08401053,2862.780269,,,,,0.109652003,2427.906977
0.101713054,1064.103201,0.104584204,846.4392531,0.097497006,499.4221189,0.118153486,487.5359043,0.220020961,333.9955074,0.222805324,969.2732465,0.413758058,285.7970539,0.152709734,922.9802741,0.180218701,607.6234047,0.091129951,3142.600897,,,,,0.118844386,2693.023256
0.103843822,1122.914196,0.105295857,852.3174198,0.103193219,517.0356706,0.121708756,546.3385204,0.237111397,369.1890931,0.234907009,1033.907942,0.430852086,285.6965008,0.162758447,782.8311992,0.198777699,804.5649152,0.098729376,3350.672646,,,,,0.125410374,2865.116279
0.105264733,1158.199956,0.106004517,887.6073689,0.108888236,546.4139352,0.125978672,581.6075209,0.254914682,398.4961326,0.239177524,1063.294586,0.467179288,261.9533996,0.170748348,1207.489737,0.209356073,664.4135213,0.104430118,3486.995516,,,,,0.13328956,3083.72093
0.105258149,1222.905877,0.106710782,946.4267438,0.114583252,575.7921998,0.130959043,634.5194011,0.284115184,415.9714238,0.244867153,1145.614059,0.493531383,273.5630932,0.179772988,1400.094708,0.219969231,852.6332535,0.112980591,3702.242152,,,,,0.140512147,3241.860465
0.108810427,1311.120275,0.107421836,958.187267,0.118854964,593.4141309,0.133804457,669.796781,0.298359009,427.6523424,0.249138864,1163.23599,0.51988288,291.0551432,0.191950548,1356.258554,0.246461546,940.0829369,0.118679199,3874.439462,,,,,0.151674327,3451.162791
0.112363902,1387.569961,0.108843945,981.7083134,0.125261034,634.5529188,0.137359128,734.4817535,0.320436999,445.1695307,0.255541942,1233.78656,0.565466952,290.7870016,0.202023842,1448.158408,0.255468098,961.9349222,0.130549167,4269.058296,,,,,0.154957321,3604.651163
0.113070168,1446.389336,0.109550809,1034.645332,0.126684339,646.3092523,0.140914997,787.4020131,0.333969771,445.0899262,0.259096614,1298.471533,0.597516458,308.2455339,0.2094326,1386.829999,0.260239683,1005.696868,0.131023198,4297.757848,,,,,0.170715693,3800
0.114488086,1511.086877,0.110260067,1064.052924,0.130954853,675.6958963,0.14589477,846.1962497,0.348213596,456.7708449,0.26407519,1369.030483,0.655211793,278.4943849,0.222735805,1969.083487,0.270838928,1062.56815,0.140527706,4469.955157,,,,,0.183847669,3934.883721
0.117331704,1564.011327,0.111678584,1122.86811,0.137359128,734.4817535,0.153010698,910.8602737,0.359606622,486.1155918,0.266208951,1398.429696,0.695094864,307.6715433,0.241290165,2122.242181,0.280909903,1132.576596,0.154788734,4656.502242,,,,,0.20551543,4032.55814
0.118038568,1616.948345,0.11167619,1146.397535,0.138782434,746.238087,0.158703918,957.8856077,0.366015087,503.7249537,0.269763024,1468.997025,0.728571865,295.7099139,0.260359808,2139.671824,0.289908571,1079.997792,0.163340914,4843.049327,,,,,0.215364412,4102.325581
0.120169935,1669.876984,0.112387244,1158.158059,0.140203345,781.5238463,0.166531499,1028.427798,0.375984807,521.3133672,0.276875959,1563.072831,0.754925157,295.5548945,0.2725536,2249.075529,0.304747885,1163.120212,0.172369258,5022.421525,,,,,0.223900197,4088.372093
0.12015976,1769.877044,0.113098897,1164.036225,0.14447326,816.7928468,0.173646828,1098.974179,0.401622257,556.4566763,0.278295673,1610.123303,0.774156536,289.5594158,0.281546702,2143.957345,0.309521789,1228.773566,0.181402295,5122.869955,,,,,0.227183191,4125.581395
0.122999786,1858.095632,0.11381055,1169.914392,0.148030326,857.9483935,0.183608767,1193.033226,0.41016927,556.4063997,0.284694561,1721.850369,0.794811819,289.4379141,0.290533775,1981.9215,0.320107583,1158.674679,0.194718248,5201.793722,,,,,0.231122784,4162.790698
0.125131153,1911.024271,0.114521604,1181.674915,0.150165284,875.5828938,0.184319821,1204.793749,0.437947065,556.2430009,0.291815277,1739.455541,0.821877362,289.2787051,0.302247997,2564.181945,0.343406164,1097.2767,0.204699347,5359.641256,,,,,0.236375575,4190.697674
0.12583682,1975.726002,0.116654766,1216.956485,0.154435798,904.9695378,0.191433953,1287.104843,0.469992979,608.995672,0.299654229,1698.232959,0.840395892,289.1697725,0.310743904,2765.545799,0.350316335,1329.295482,0.216112777,5431.390135,,,,,0.24425476,4153.488372
0.126544283,2022.780664,0.118076874,1240.477531,0.158706911,928.4738254,0.198549282,1357.651223,0.487081021,667.7186835,0.308203038,1680.535613,0.867461435,289.0105635,0.322390876,2712.9554,0.364081486,1272.317526,0.22658028,5409.865471,,,,,0.248194353,4200
0.12867565,2075.709303,0.118787928,1252.238055,0.160840672,957.8730385,0.206376264,1434.07577,0.51485283,726.3788494,0.313902244,1668.737382,0.881707655,277.1620563,0.331932654,2787.344447,0.370467099,1552.499725,0.243235782,5330.941704,,,,,0.258043336,4260.465116
0.131517472,2146.280822,0.119495391,1299.292717,0.164397738,999.0285852,0.212070083,1475.218748,0.524112095,726.3243831,0.321021763,1698.107267,0.899510941,306.4690958,0.341982295,2655.951935,0.380535755,1600.616763,0.250853127,5237.668161,,,,,0.267892318,4293.023256
0.133646445,2222.738887,0.1194918,1334.586855,0.166532696,1016.663085,0.217051053,1522.248272,0.536932017,732.1313247,0.328135895,1780.418361,0.930138937,294.5242252,0.351013892,2914.231132,0.390090056,1793.219415,0.267031185,5187.443946,,,,,0.279054498,4320.930233
0.135063166,2299.201142,0.120201657,1358.112092,0.169378708,1046.058109,0.220608119,1563.403818,0.541917775,732.1019968,0.334538374,1856.851287,0.952217525,306.1590571,0.36638565,3023.620922,0.398551642,1670.590423,0.279398224,5223.318386,,,,,0.282994091,4302.325581
0.135771826,2334.491091,0.121621969,1399.280207,0.17079902,1087.226225,0.224876837,1610.437532,0.551175843,743.8122434,0.338091849,1933.300973,0.971449503,294.2812219,0.373812959,3137.42378,0.414448422,1736.195078,0.287472533,5445.73991,,,,,0.293499672,4311.627907
0.13790439,2375.655017,0.123753336,1452.208846,0.173642638,1140.150674,0.228432706,1663.357791,0.561144965,767.2830133,0.341642331,2039.162441,0.994240342,305.911864,0.387053551,3128.609242,0.424513368,1749.285862,0.297455338,5574.887892,,,,,0.304005253,4339.534884
0.140749204,2416.814753,0.124463193,1475.734083,0.174353093,1157.793554,0.233414275,1704.504959,0.564705023,779.0267777,0.34946632,2144.99877,,,0.396075872,3299.322804,0.429797917,1635.427349,0.310291288,5725.560538,,,,,0.309914642,4293.023256
0.145730773,2457.96192,0.12517305,1499.259319,0.177908364,1216.59617,0.24266516,1786.803483,0.573961894,802.5017372,0.346611929,2197.956737,,,0.410385062,3378.069261,0.439902286,2020.672076,0.31599587,5797.309417,,,,,0.317793828,4358.139535
0.146441228,2475.6048,0.125882907,1522.784555,0.180041526,1251.877739,0.247648524,1810.303581,0.583219363,820.0943404,0.353727258,2268.503117,,,0.424678018,3303.57586,0.448917187,2121.333131,0.333588767,5955.156951,,,,,0.325016415,4413.953488
0.149997696,2522.642703,0.126592166,1552.192147,0.182886341,1293.037476,0.256903,1857.307966,0.588915577,837.707892,0.356564891,2380.251131,,,0.434210056,3286.020991,0.460036353,2086.258179,0.347382591,5998.206278,,,,,0.3335522,4432.55814
0.152130259,2563.806629,0.128724729,1593.356073,0.184307252,1328.323235,0.264022519,1886.677851,0.59603749,843.5483514,0.362253922,2468.452961,,,0.454365921,3557.386333,0.477004977,2270.071801,0.364030413,6048.430493,,,,,0.348653972,4479.069767
0.152840116,2587.331865,0.128722335,1616.885499,0.187152067,1369.482972,0.266867932,1921.955231,0.598886494,843.5315925,0.367945946,2527.243008,,,0.469746491,3749.963476,0.492875321,2086.1144,0.390669147,6091.479821,,,,,0.358502955,4534.883721
0.154260429,2628.499981,0.130143845,1646.288902,0.188572978,1404.768731,0.273272806,1974.858732,0.607432311,855.2460289,0.373639166,2574.268342,,,0.481945849,3911.906561,0.501362416,2204.290902,0.404937855,6148.878924,,,,,0.366382141,4544.186047
0.156393591,2663.781551,0.130852505,1681.578851,0.190705542,1445.932657,0.279677081,2033.644589,0.619535193,908.1160119,0.37648458,2609.545721,,,0.488824946,3850.58047,0.518309705,2186.703567,0.417305748,6170.403587,,,,,0.372948129,4562.790698
0.157103448,2687.306787,0.130847717,1728.637703,0.194260213,1510.617629,0.285369105,2092.434636,0.633062578,960.9776156,0.389305699,2603.58795,,,0.51003735,4095.671484,0.532631417,2383.663629,0.424916693,6184.753363,,,,,0.38345371,4609.302326
0.159947665,2734.34888,0.130845322,1752.167129,0.195681125,1545.903389,0.289637823,2139.468349,0.63947224,966.8222646,0.395005503,2585.907363,,,0.536505547,3955.45052,0.539499382,2217.258778,0.433479966,6184.753363,,,,,0.403151674,4553.488372
0.162794275,2757.861547,0.131552187,1805.104147,0.199234599,1622.353074,0.296042098,2198.254207,0.6458825,966.7845572,0.403549524,2615.268869,,,0.550298989,4165.547747,0.551709408,2479.902342,0.455364739,6170.403587,,,,,0.414313854,4609.302326
0.165636097,2828.433065,0.132263839,1810.982314,0.202789271,1687.038047,0.302443979,2280.56949,0.652293957,954.9821369,0.409954398,2668.17237,,,0.560886175,4108.583705,0.561775746,2506.127971,0.46440375,6170.403587,,,,,0.41694025,4590.697674
0.167768062,2875.479348,0.132974295,1828.625194,0.207054997,1763.483543,0.305289392,2315.84687,0.655855213,954.9611883,0.412796819,2732.861532,,,0.574672197,4248.628424,0.573423181,2457.915854,0.488188486,6206.278027,,,,,0.417596848,4567.44186
0.169899429,2928.407987,0.134397002,1846.263884,0.211323117,1816.399612,0.315961787,2427.548797,0.662977126,960.8016476,0.382180195,2633.04163,,,0.583663908,4130.375396,0.586660526,2418.453344,0.501031689,6234.977578,,,,,0.426789232,4590.697674
0.171323333,2934.281964,0.137238225,1922.717759,0.213455082,1863.445895,0.320940962,2492.22539,0.667250034,966.6588658,0.419202291,2779.882676,,,0.612815193,4318.513963,0.596723153,2409.65272,0.506263093,6263.67713,,,,,0.430072226,4600
